Categories,avg_max_tempavg_min_temphours_of_sunrain_days_per_monthHousingCost of LivingStartupsTravel ConnectivityCommuteBusiness FreedomSafetyHealthcareEnvironmental QualityEconomyTaxationInternet AccessLeisure & CultureToleranceOutdoors
Asuncion,108.36058333333334
Bogota,92.39566666666666
Buenos Aires,103.77550000000001
Caracas,89.20708333333332
Curitiba,82.56133333333332
Florianopolis,90.27291666666669
Medellin,103.48325
Montevideo,99.79916666666666
Porto Alegre,97.10741666666668
Quito,86.87483333333333
Rio de Janeiro,92.55333333333333
Santiago,122.30666666666664
Sao Paulo,96.82283333333334
