,Unnamed: 0,month,avg_max_temp,avg_min_temp,hours_of_sun,rain_days_per_month,avg_sea_temp,City
0,2,januari,26,14,11,2,              n.v.t.,Ushuaia
9,11,oktober,26,12,8,7,              n.v.t.,Cordoba
8,10,september,25,9,7,5,              n.v.t.,Cochabamba
1,3,februari,32,25,7,4,28,Cochabamba
9,11,oktober,32,19,3,0,22,Montanita
7,9,augustus,21,2,6,8,              n.v.t.,Quito
9,11,oktober,32,19,3,0,22,Guayaquil
7,9,augustus,21,2,6,8,              n.v.t.,Cuenca
3,5,april,32,21,8,3,27,Cancun
